snp-dists 0.6.3,2009_36,BA2175,BA5274,BA8206,BA8217,BA8315,BA8325,BA8327,BA8618,BA8663,BA9049,BA9272,BA9321,BA9326,BA9328,BA9381,BA9437,BA9712,BA9739,BA9751,BA9752,CA0053,CA0067,CA0076,CA0077,CA0100,CA0101,CA0102,CA0103,CA0115,CA0117,CA0122,CA0125,CA0135,CA0139,CA0141,CA0833,CA0873,CA0878,CA0883,CA0885,CA0909,CA0910,CA0912,CA0925,CA0926,CA0927,CA1310,CA4383,CA4403,CA4405,CA4465,DA2215,DA2290,DA3592,DA3741,DA3769,DA4589,DA4592,DA4594,DA4618,DA4619,DA4621,DA4624,DA4626,DA4632,DA4642,DA4643,DA4649,DA4650,DA4655,DA4809,DA5291,DA9429,EA0976,EA2246,EA2892,EA3951,EA4711,EA4737,F2_14D,FA9052,FA9055,FA9057,FA9058,FA9061,FA9063,FA9064,FA9065,FA9067,FA9074,FA9085,FA9092,FA9097,FA9098,FA9107,FA9110,FA9114,FA9118,FA9120,FA9124,FA9125,FA9126,FA9130,FA9131,FA9134,FA9136,FA9137,FA9143,FA9148,FA9149,FA9152,FA9160,FA9950,FA9952,GA3026,GA6612,GA6622,GA6630,GA6631,GA6643,GA6645,GA6646,GA6791,GA8084,HA0015,HA0017,HA0071,HA3119,HA7251,HA7630,HA7663,HA9360,HA9399,HA9450,HA9520,HA9631,IA0869,IA0983,IA1829,IA2820,IA3637,IA3885,IA4037,IA4046,IA4053,IA4072,IA4090,IA4093,IA4095,IA4127,IA4128,IA4131,IA4141,IA4156,IA4159,IA4417,IA6627,IA6645,IA7281,IA8900,IA9379,JA3253,JA4514,JA5749,JA7896,JA8189,JA8190,JA8241,JA8252,JA8266,JA8320,JA8385,JA8469,KA1772,KA1794,KA1850,KA1851,KA1855,KA3718,KA3808,KA3838,KA3859,KA3870,KA3909,KA3977,KA3983,KA4015,KA4076,KA4140,KA4205,KA4213,KA4242,KA4253,KA4309,KA4331,KA4334,KA4355,KA4595,KA4627,KA4871,KA5027,KA5737,KA5738,KA9540,LA0853,LA0995,LA1141,LA1145,LA1148,LA3619,LA3621,LA3622,LA3663,LA3664,LA3674,LA5125,LA5503,LA5585,LA7429,LA8319,LA8327,LA8340,LA8344,LA8346,LA8355,LA8360,LA8364,LA8371,LA8375,LA8377,LA8390,LA8392,LA8404,LA8411,LA8416,LA8424,LA8426,LA8428,LA8430,LA8434,LA8440,LA8441,LA8442,LA8445,LA8446,LA8448,LA8456,LA8457,LA8472,LA8475,LA8478,LA8483,LA8484,LA8485,LA8488,LA8498,LA8500,LA8507,LA8511,LA8515,LA8519,MA0016,MA0187,MA0279,MA0428,MA0476,MA0512,MA0520,MA1021,MA1055,MA1299,MA1951,MA3056,MA3100,MA3107,MA3136,MA3161,MA3646,MA5127,MA5807,MA5825,Reference
DA2290,46,34,26,41,49,53,43,38,36,69,59,30,31,30,30,34,39,57,50,29,48,29,31,45,36,46,40,44,51,73,73,44,72,33,39,33,51,59,19,48,37,27,45,30,33,24,46,42,64,48,49,55,37,0,40,40,34,52,29,53,34,15,42,33,15,57,34,63,29,15,30,32,35,54,36,33,62,51,40,33,46,42,29,25,28,31,29,34,43,25,44,69,41,33,27,56,59,24,79,70,70,39,45,56,33,29,38,34,30,37,33,30,44,52,46,45,46,42,34,38,46,45,37,55,60,56,55,38,56,59,58,55,35,31,48,41,54,43,52,41,33,40,54,46,40,41,57,36,44,38,52,49,37,51,62,50,42,55,42,41,32,50,52,50,33,50,51,51,60,50,51,53,55,57,32,31,29,30,29,42,59,65,58,41,48,62,64,49,38,50,71,38,65,66,39,42,68,61,35,33,43,41,52,56,36,54,47,43,37,37,38,27,30,23,25,39,62,48,52,41,69,47,37,41,68,46,38,36,36,38,49,34,26,37,33,34,72,36,48,29,49,37,38,39,37,39,35,68,32,50,42,38,27,38,37,39,64,52,35,31,32,32,33,62,40,42,47,37,48,32,55,79,69,39,63,43,36,38,42,49,53,37,45
DA3592,46,34,34,27,41,45,35,30,36,69,59,38,31,30,36,40,39,57,50,21,48,21,39,51,42,52,46,50,59,73,73,50,72,21,47,41,57,59,27,48,43,35,45,38,33,32,46,42,64,48,55,55,43,40,0,0,22,58,35,53,42,39,42,39,39,57,34,63,37,39,30,38,35,54,28,25,62,43,40,41,46,36,17,33,20,17,21,20,43,17,44,69,41,25,19,56,59,16,79,70,70,39,51,56,19,21,30,26,22,37,33,30,44,52,46,37,52,34,22,26,46,45,45,55,60,48,47,26,48,59,50,47,41,39,40,47,54,35,52,41,25,40,54,38,32,41,57,28,36,30,44,41,29,43,54,42,40,55,42,41,40,50,52,50,25,50,51,51,60,50,57,53,47,49,40,39,39,38,39,34,57,63,56,33,48,60,62,49,30,50,63,38,63,64,39,28,68,59,35,33,43,41,52,48,28,54,47,43,37,37,38,35,38,31,33,47,62,48,52,41,69,39,29,33,68,32,38,28,22,38,41,34,26,23,33,42,72,22,48,21,41,29,30,31,45,39,43,68,40,50,28,38,35,38,29,39,64,52,45,29,30,30,33,62,40,42,39,37,48,32,55,79,69,39,63,43,34,30,34,37,53,37,45
DA3741,46,34,34,27,41,45,35,30,36,69,59,38,31,30,36,40,39,57,50,21,48,21,39,51,42,52,46,50,59,73,73,50,72,21,47,41,57,59,27,48,43,35,45,38,33,32,46,42,64,48,55,55,43,40,0,0,22,58,35,53,42,39,42,39,39,57,34,63,37,39,30,38,35,54,28,25,62,43,40,41,46,36,17,33,20,17,21,20,43,17,44,69,41,25,19,56,59,16,79,70,70,39,51,56,19,21,30,26,22,37,33,30,44,52,46,37,52,34,22,26,46,45,45,55,60,48,47,26,48,59,50,47,41,39,40,47,54,35,52,41,25,40,54,38,32,41,57,28,36,30,44,41,29,43,54,42,40,55,42,41,40,50,52,50,25,50,51,51,60,50,57,53,47,49,40,39,39,38,39,34,57,63,56,33,48,60,62,49,30,50,63,38,63,64,39,28,68,59,35,33,43,41,52,48,28,54,47,43,37,37,38,35,38,31,33,47,62,48,52,41,69,39,29,33,68,32,38,28,22,38,41,34,26,23,33,42,72,22,48,21,41,29,30,31,45,39,43,68,40,50,28,38,35,38,29,39,64,52,45,29,30,30,33,62,40,42,39,37,48,32,55,79,69,39,63,43,34,30,34,37,53,37,45
DA3769,40,28,28,23,35,39,29,24,30,63,53,32,25,24,30,34,33,51,44,15,42,13,33,45,36,46,40,44,53,65,65,44,64,13,41,35,51,53,21,42,37,29,39,32,27,26,40,36,56,40,49,47,37,34,22,22,0,52,29,45,36,33,36,33,33,51,28,57,31,33,24,32,27,48,22,19,56,35,34,35,40,28,11,27,14,11,15,14,37,11,38,61,33,17,13,50,53,10,73,64,62,33,45,50,15,15,22,18,16,31,27,24,38,46,40,31,46,26,16,18,40,39,39,49,54,40,39,18,40,53,44,41,35,33,34,41,46,29,46,35,19,34,48,30,24,33,51,20,28,22,36,33,21,35,46,34,34,49,36,35,34,44,46,44,19,44,43,43,52,42,51,45,39,41,34,33,33,32,33,28,51,57,50,27,42,54,56,43,24,44,57,32,57,58,33,24,62,53,29,27,37,35,46,40,22,48,41,37,31,31,32,29,32,25,27,41,56,42,46,35,63,33,23,27,62,28,32,22,18,32,35,28,20,19,27,36,66,18,42,15,35,23,24,25,39,33,37,62,34,44,24,32,29,32,23,33,58,46,39,23,22,22,27,56,34,36,33,31,42,26,49,73,63,33,57,37,28,22,28,31,47,31,39
DA4589,64,52,46,59,67,71,61,56,54,87,77,50,49,48,48,52,57,75,68,47,66,47,51,63,54,64,58,62,71,91,91,62,90,51,59,53,69,77,39,66,55,47,63,50,51,44,64,60,82,66,67,73,55,52,58,58,52,0,47,71,54,51,60,51,51,75,52,81,49,51,48,50,53,72,54,51,80,69,58,53,64,62,47,45,46,49,47,52,61,43,62,87,59,51,45,74,77,42,97,88,88,57,63,74,51,47,56,52,48,55,51,48,62,70,64,63,64,60,52,56,64,63,57,73,78,74,73,56,74,77,76,73,53,51,66,59,72,61,70,59,51,58,72,64,58,59,75,54,62,56,70,67,55,69,80,68,60,73,60,59,52,68,70,68,51,68,69,69,78,68,69,71,73,75,52,51,51,50,51,60,77,83,76,59,66,80,82,67,56,68,89,56,83,84,57,60,86,79,53,51,61,59,70,74,54,72,65,61,55,55,56,47,50,43,45,59,80,66,70,59,87,65,55,59,86,64,56,54,54,56,67,52,44,55,51,54,90,54,66,47,67,55,56,57,57,57,55,86,52,68,60,56,47,56,55,57,82,70,57,49,50,50,51,80,58,60,65,55,66,50,73,97,87,57,81,61,54,56,60,67,71,55,63
DA4592,41,29,23,36,44,48,38,33,31,64,54,27,26,25,25,25,34,52,45,24,43,24,28,36,27,41,35,39,48,68,68,39,67,28,36,30,42,54,16,43,32,24,40,27,28,21,41,37,59,43,44,50,32,29,35,35,29,47,0,48,31,28,37,28,28,52,29,58,26,28,25,27,30,49,31,28,57,46,35,30,41,39,24,22,23,26,24,29,38,20,39,64,36,28,22,51,54,19,74,65,65,34,40,51,28,24,33,29,25,32,28,25,39,47,41,40,41,37,29,33,41,40,34,50,55,51,50,33,51,54,53,50,30,28,43,36,49,38,47,36,28,35,49,41,35,36,52,31,39,33,47,44,32,46,57,45,37,50,37,36,29,45,47,45,28,45,46,46,55,45,46,48,50,52,29,28,28,27,28,37,54,60,53,36,43,57,59,44,33,45,66,33,60,61,34,37,63,56,30,28,38,36,47,51,31,49,42,38,32,32,33,24,27,20,22,36,57,43,47,36,64,42,32,36,63,41,33,31,31,33,44,29,21,32,28,31,67,31,43,24,44,32,33,34,34,34,32,63,29,45,37,33,24,33,32,34,59,47,34,26,27,27,28,57,35,37,42,32,43,27,50,74,64,34,58,38,31,33,37,44,48,32,40
DA4594,45,37,47,54,62,66,56,51,39,78,70,51,34,33,49,53,42,64,57,42,55,40,52,64,55,65,59,63,72,82,82,63,81,44,60,54,70,68,40,57,56,48,56,51,46,45,59,45,73,19,68,66,56,53,53,53,45,71,48,0,55,52,41,52,52,66,37,74,50,52,33,51,32,61,49,46,75,62,39,54,45,55,42,46,41,42,42,45,50,38,51,78,46,44,40,69,72,37,86,81,79,42,64,69,46,42,49,45,43,36,36,33,51,65,59,58,65,53,47,49,57,56,58,64,73,67,66,49,67,68,71,68,54,52,61,60,65,56,61,44,46,43,61,57,51,42,68,47,55,49,63,60,48,62,73,61,55,68,55,54,53,53,53,53,46,59,60,60,69,59,70,62,66,68,53,52,52,51,52,55,72,78,71,54,51,75,77,60,51,59,84,41,78,79,42,55,81,74,48,46,46,44,51,67,49,57,26,22,36,36,51,48,51,44,46,60,75,59,61,54,78,60,50,54,77,59,41,49,49,41,62,37,29,50,36,55,83,49,57,42,62,50,51,52,58,48,56,81,53,59,55,41,48,41,50,42,73,55,58,44,43,43,36,75,43,45,60,40,57,35,64,88,80,38,76,42,49,49,55,62,64,40,56
DA4618,48,36,28,43,51,55,45,40,38,71,61,32,33,32,32,36,41,59,52,31,50,31,33,47,38,48,42,46,53,75,75,46,74,35,41,35,53,61,21,50,39,29,47,32,35,26,48,44,66,50,51,57,39,34,42,42,36,54,31,55,0,33,44,35,33,59,36,65,17,33,32,34,37,56,38,35,64,53,42,33,48,46,31,21,30,33,31,36,45,27,46,71,43,35,29,58,61,26,81,72,72,41,47,58,35,31,40,36,32,39,35,32,46,54,48,47,48,44,36,40,48,47,39,57,62,58,57,40,58,61,60,57,37,33,50,43,56,45,54,43,35,42,56,48,42,43,59,38,46,40,54,51,39,53,64,52,44,57,44,43,34,52,54,52,35,52,53,53,62,52,53,55,57,59,34,33,33,30,33,44,61,67,60,43,50,64,66,51,40,52,73,40,67,68,41,44,70,63,37,35,45,43,54,58,38,56,49,45,39,39,40,23,32,25,27,41,64,50,54,43,71,49,39,43,70,48,40,38,38,40,51,36,28,39,35,36,74,38,50,31,51,39,40,41,39,41,37,70,34,52,44,40,29,40,39,41,66,54,39,33,34,34,35,64,42,44,49,39,50,34,57,81,71,41,65,45,38,40,44,51,55,39,47
DA4619,45,33,25,40,48,52,42,37,35,68,58,29,30,29,29,33,38,56,49,28,47,28,30,44,35,45,39,43,50,72,72,43,71,32,38,32,50,58,18,47,36,26,44,29,32,23,45,41,63,47,48,54,36,15,39,39,33,51,28,52,33,0,41,32,0,56,33,62,28,0,29,31,34,53,35,32,61,50,39,32,45,41,28,24,27,30,28,33,42,24,43,68,40,32,26,55,58,23,78,69,69,38,44,55,32,28,37,33,29,36,32,29,43,51,45,44,45,41,33,37,45,44,36,54,59,55,54,37,55,58,57,54,34,30,47,40,53,42,51,40,32,39,53,45,39,40,56,35,43,37,51,48,36,50,61,49,41,54,41,40,31,49,51,49,32,49,50,50,59,49,50,52,54,56,31,30,28,29,28,41,58,64,57,40,47,61,63,48,37,49,70,37,64,65,38,41,67,60,34,32,42,40,51,55,35,53,46,42,36,36,37,26,29,22,24,38,61,47,51,40,68,46,36,40,67,45,37,35,35,37,48,33,25,36,32,33,71,35,47,28,48,36,37,38,36,38,34,67,31,49,41,37,26,37,36,38,63,51,34,30,31,31,32,61,39,41,46,36,47,31,54,78,68,38,62,42,35,37,41,48,52,36,44
DA4621,30,26,36,43,51,55,45,39,28,67,59,40,23,22,38,42,31,53,46,31,44,31,41,53,44,54,48,52,61,73,73,52,72,35,49,43,59,57,29,46,45,37,45,40,35,34,48,34,64,36,57,57,45,42,42,42,36,60,37,41,44,41,0,41,41,55,26,63,39,41,22,40,23,50,38,35,64,53,24,43,30,46,31,35,30,33,31,36,39,27,40,69,37,35,29,58,61,26,75,70,70,31,53,58,35,31,40,36,32,23,25,22,40,54,48,47,54,44,36,40,46,45,47,53,62,58,57,40,58,57,60,57,43,41,50,49,56,45,50,33,35,32,50,48,42,33,57,38,46,40,54,51,39,53,64,52,44,57,44,43,42,42,42,42,35,48,51,51,60,50,59,53,57,59,42,41,41,40,41,44,61,67,60,43,40,64,66,49,40,48,73,30,67,68,31,44,70,63,37,35,35,33,40,58,38,46,35,31,23,23,40,37,40,33,35,49,64,48,50,43,67,49,39,42,66,48,30,38,38,30,51,26,18,39,25,44,72,38,46,31,51,39,40,41,47,37,45,70,42,48,44,30,37,30,39,31,62,44,47,33,34,34,25,64,32,34,49,29,46,24,53,77,69,23,65,31,38,40,44,51,53,29,45
DA4624,45,33,27,40,48,52,42,37,35,68,58,31,30,29,19,33,38,56,49,28,47,28,32,44,35,31,25,43,52,72,72,29,71,32,40,34,50,58,20,47,22,28,44,31,32,25,45,41,63,47,34,54,24,33,39,39,33,51,28,52,35,32,41,0,32,56,33,62,30,32,29,31,34,53,35,32,61,50,39,34,45,43,28,26,27,30,28,33,42,24,43,68,40,32,26,55,58,23,78,69,69,38,30,55,32,28,37,33,29,36,32,29,43,51,45,44,31,41,33,37,45,44,38,54,59,55,54,37,55,58,57,54,34,32,47,26,53,42,51,40,32,39,53,45,39,40,56,35,43,37,51,48,36,50,61,49,41,54,41,40,33,49,51,49,32,49,50,50,59,49,50,52,54,56,33,32,32,31,32,41,58,64,57,40,47,61,63,48,37,49,70,37,64,65,38,41,67,60,34,32,42,40,51,55,35,53,46,42,36,36,37,28,31,24,26,40,61,47,51,40,68,46,36,40,67,45,37,35,35,37,48,33,25,36,32,35,71,35,47,28,48,36,37,38,38,38,36,67,33,49,41,37,28,37,36,38,63,51,38,30,31,31,32,61,39,41,46,36,47,31,54,78,68,38,62,42,35,37,41,48,52,36,44
DA4626,45,33,25,40,48,52,42,37,35,68,58,29,30,29,29,33,38,56,49,28,47,28,30,44,35,45,39,43,50,72,72,43,71,32,38,32,50,58,18,47,36,26,44,29,32,23,45,41,63,47,48,54,36,15,39,39,33,51,28,52,33,0,41,32,0,56,33,62,28,0,29,31,34,53,35,32,61,50,39,32,45,41,28,24,27,30,28,33,42,24,43,68,40,32,26,55,58,23,78,69,69,38,44,55,32,28,37,33,29,36,32,29,43,51,45,44,45,41,33,37,45,44,36,54,59,55,54,37,55,58,57,54,34,30,47,40,53,42,51,40,32,39,53,45,39,40,56,35,43,37,51,48,36,50,61,49,41,54,41,40,31,49,51,49,32,49,50,50,59,49,50,52,54,56,31,30,28,29,28,41,58,64,57,40,47,61,63,48,37,49,70,37,64,65,38,41,67,60,34,32,42,40,51,55,35,53,46,42,36,36,37,26,29,22,24,38,61,47,51,40,68,46,36,40,67,45,37,35,35,37,48,33,25,36,32,33,71,35,47,28,48,36,37,38,36,38,34,67,31,49,41,37,26,37,36,38,63,51,34,30,31,31,32,61,39,41,46,36,47,31,54,78,68,38,62,42,35,37,41,48,52,36,44
DA4632,59,47,51,58,66,70,60,55,49,60,74,55,44,43,53,57,52,70,63,46,61,46,56,68,59,69,63,67,76,88,88,67,87,50,64,58,74,54,44,61,60,52,60,55,50,49,63,55,79,61,72,72,60,57,57,57,51,75,52,66,59,56,55,56,56,0,47,78,54,56,43,55,48,67,53,50,79,68,53,58,59,61,46,50,45,48,46,51,56,42,57,84,54,50,44,73,76,41,92,85,85,52,68,73,50,46,55,51,47,50,46,43,57,69,63,62,69,59,51,55,61,60,62,8,77,73,72,55,73,72,75,72,58,56,65,64,71,60,65,54,50,53,67,63,57,54,72,53,61,55,69,66,54,68,79,67,59,72,59,58,57,63,65,63,50,63,66,66,75,65,74,68,72,74,57,56,56,55,56,59,76,82,75,58,61,79,81,64,55,41,88,51,82,83,52,59,85,78,52,50,56,54,65,73,53,67,60,56,50,50,55,52,55,48,50,64,79,63,65,58,42,64,54,58,41,63,51,53,53,51,66,47,39,54,46,59,87,53,61,46,66,54,55,56,62,52,60,85,57,63,59,51,52,51,54,52,55,65,62,48,49,49,46,79,53,55,64,50,61,45,46,70,84,52,80,56,53,55,59,66,68,50,60
DA4642,30,14,28,35,43,47,37,32,20,59,51,32,15,10,30,34,23,45,38,23,36,23,33,45,36,46,40,44,53,65,65,44,64,27,41,35,51,49,21,38,37,29,37,32,27,26,40,26,56,32,49,49,37,34,34,34,28,52,29,37,36,33,26,33,33,47,0,55,31,33,14,32,19,42,30,27,56,45,24,35,30,38,23,27,22,25,23,28,31,19,32,61,29,27,21,50,53,18,67,62,62,23,45,50,27,23,32,28,24,21,17,14,32,46,40,39,46,36,28,32,38,37,39,45,54,50,49,32,50,49,52,49,35,33,42,41,48,37,42,25,27,24,42,40,34,25,49,30,38,32,46,43,31,45,56,44,36,49,36,35,34,34,36,34,27,40,43,43,52,42,51,45,49,51,34,33,33,32,33,36,53,59,52,35,32,56,58,41,32,40,65,22,59,60,23,36,62,55,29,27,27,25,36,50,30,38,31,27,21,21,32,29,32,25,27,41,56,40,42,35,59,41,31,35,58,40,22,30,30,22,43,18,10,31,17,36,64,30,38,23,43,31,32,33,39,29,37,62,34,40,36,22,29,22,31,23,54,36,39,25,26,26,17,56,24,26,41,21,38,16,45,69,61,23,57,27,30,32,36,43,45,21,37
DA4643,67,55,57,64,72,76,66,61,57,90,66,61,52,51,59,63,60,78,71,52,69,52,62,74,65,75,69,73,82,30,30,73,29,56,70,64,80,80,50,69,66,58,66,61,56,55,69,63,85,69,78,78,66,63,63,63,57,81,58,74,65,62,63,62,62,78,55,0,60,62,51,61,56,75,59,56,85,74,61,64,67,67,52,56,51,54,52,57,64,48,65,26,62,56,50,79,82,47,100,77,27,60,74,79,56,52,61,57,53,58,54,51,65,75,69,68,75,65,57,61,67,66,68,76,83,79,78,61,79,80,81,78,64,62,71,70,77,66,73,62,56,61,75,69,63,62,64,59,67,61,75,72,60,74,85,73,65,78,65,64,63,71,73,71,56,71,72,72,81,71,80,74,78,80,63,62,62,61,62,65,82,88,81,64,69,85,87,70,61,71,94,59,88,89,60,65,91,84,58,56,64,62,73,79,59,75,68,64,58,58,61,58,61,54,56,70,85,69,73,64,90,70,60,64,89,69,59,59,59,59,72,55,47,60,54,65,93,59,69,52,72,60,61,62,68,60,66,91,63,71,65,59,58,59,60,60,85,73,68,54,55,55,54,85,61,63,70,58,69,53,76,100,76,60,86,64,59,61,65,72,74,58,66
DA4649,43,31,23,38,46,50,40,35,33,66,56,27,28,27,27,31,36,54,47,26,45,26,28,42,33,43,37,41,48,70,70,41,69,30,36,30,48,56,16,45,34,24,42,27,30,21,43,39,61,45,46,52,34,29,37,37,31,49,26,50,17,28,39,30,28,54,31,60,0,28,27,29,32,51,33,30,59,48,37,28,43,41,26,16,25,28,26,31,40,22,41,66,38,30,24,53,56,21,76,67,67,36,42,53,30,26,35,31,27,34,30,27,41,48,43,42,43,39,31,35,43,42,34,52,57,53,52,35,53,56,55,52,32,28,45,38,51,40,49,38,30,37,51,43,37,38,54,33,41,35,49,46,34,48,59,47,39,52,39,38,29,47,49,47,30,47,48,48,57,47,48,50,52,54,29,28,28,25,28,39,56,62,55,38,45,59,61,46,35,47,68,35,62,63,36,39,65,58,32,30,40,38,49,53,33,51,44,40,34,34,35,18,27,20,22,36,59,45,49,38,66,44,34,38,65,43,35,33,33,35,46,31,23,34,30,31,69,33,45,26,46,34,35,36,34,36,32,65,29,47,39,35,24,35,34,36,61,49,34,28,29,29,30,59,37,39,44,34,45,29,52,76,66,36,60,40,33,35,39,46,50,34,42
DA4650,45,33,25,40,48,52,42,37,35,68,58,29,30,29,29,33,38,56,49,28,47,28,30,44,35,45,39,43,50,72,72,43,71,32,38,32,50,58,18,47,36,26,44,29,32,23,45,41,63,47,48,54,36,15,39,39,33,51,28,52,33,0,41,32,0,56,33,62,28,0,29,31,34,53,35,32,61,50,39,32,45,41,28,24,27,30,28,33,42,24,43,68,40,32,26,55,58,23,78,69,69,38,44,55,32,28,37,33,29,36,32,29,43,51,45,44,45,41,33,37,45,44,36,54,59,55,54,37,55,58,57,54,34,30,47,40,53,42,51,40,32,39,53,45,39,40,56,35,43,37,51,48,36,50,61,49,41,54,41,40,31,49,51,49,32,49,50,50,59,49,50,52,54,56,31,30,28,29,28,41,58,64,57,40,47,61,63,48,37,49,70,37,64,65,38,41,67,60,34,32,42,40,51,55,35,53,46,42,36,36,37,26,29,22,24,38,61,47,51,40,68,46,36,40,67,45,37,35,35,37,48,33,25,36,32,33,71,35,47,28,48,36,37,38,36,38,34,67,31,49,41,37,26,37,36,38,63,51,34,30,31,31,32,61,39,41,46,36,47,31,54,78,68,38,62,42,35,37,41,48,52,36,44
DA4655,26,14,24,31,39,43,33,28,16,55,47,28,11,10,26,30,19,41,34,19,32,19,29,41,32,42,36,40,49,61,61,40,60,23,37,31,47,45,17,34,33,25,33,28,23,22,36,22,52,28,45,45,33,30,30,30,24,48,25,33,32,29,22,29,29,43,14,51,27,29,0,28,15,38,26,23,52,41,20,31,26,34,19,23,18,21,19,24,27,15,28,57,25,23,17,46,49,14,63,58,58,19,41,46,23,19,28,24,20,17,13,10,28,42,36,35,42,32,24,28,34,33,35,41,50,46,45,28,46,45,48,45,31,29,38,37,44,33,38,21,23,20,38,36,30,21,45,26,34,28,42,39,27,41,52,40,32,45,32,31,30,30,32,30,23,36,39,39,48,38,47,41,45,47,30,29,29,28,29,32,49,55,48,31,28,52,54,37,28,36,61,18,55,56,19,32,58,51,25,23,23,21,32,46,26,34,27,23,17,17,28,25,28,21,23,37,52,36,38,31,55,37,27,31,54,36,18,26,26,18,39,14,6,27,13,32,60,26,34,19,39,27,28,29,35,25,33,58,30,36,32,18,25,18,27,19,50,32,35,21,22,22,13,52,20,22,37,17,34,12,41,65,57,19,53,23,26,28,32,39,41,17,33
DA4809,44,32,26,39,47,51,41,36,34,67,57,30,29,28,28,32,37,55,48,27,46,27,31,43,34,44,38,42,51,71,71,42,70,31,39,33,49,57,19,46,35,27,43,30,31,24,44,40,62,46,47,53,35,32,38,38,32,50,27,51,34,31,40,31,31,55,32,61,29,31,28,0,33,52,34,31,60,49,38,33,44,42,27,25,26,29,27,32,41,23,42,67,39,31,25,54,57,22,77,68,68,37,43,54,31,27,36,32,28,35,31,28,42,50,44,43,44,40,32,36,44,43,37,53,58,54,53,36,54,57,56,53,31,31,46,39,52,41,50,39,31,38,52,44,38,39,55,34,42,36,50,47,35,49,60,48,40,53,40,39,32,48,50,48,31,48,49,49,58,48,47,51,53,55,32,31,31,30,31,40,57,63,56,39,46,60,62,47,36,48,69,36,63,64,37,40,66,59,33,31,41,39,50,54,34,52,45,41,35,35,36,27,30,23,25,39,60,46,50,39,67,45,35,39,66,44,36,34,34,36,47,32,24,35,31,34,70,34,46,27,47,35,36,37,37,37,35,66,32,48,40,36,27,36,35,37,62,50,37,29,30,30,31,60,38,40,45,35,46,30,53,77,67,37,61,41,34,36,40,47,51,35,43
DA5291,27,19,29,36,44,48,38,33,21,60,52,33,16,15,31,35,24,46,39,24,37,22,34,46,37,47,41,45,54,64,64,45,63,26,42,36,52,50,22,39,38,30,38,33,28,27,41,27,55,27,50,48,38,35,35,35,27,53,30,32,37,34,23,34,34,48,19,56,32,34,15,33,0,43,31,28,57,44,21,36,27,37,24,28,23,24,24,27,32,20,33,60,28,26,22,51,54,19,68,63,61,24,46,51,28,24,31,27,25,18,18,15,33,47,41,40,47,35,29,31,39,38,40,46,55,49,48,31,49,50,53,50,36,34,43,42,47,38,43,26,28,25,43,39,33,24,50,29,37,31,45,42,30,44,55,43,37,50,37,36,35,35,35,35,28,41,42,42,51,41,52,44,48,50,35,34,34,33,34,37,54,60,53,36,33,57,59,42,33,41,66,23,60,61,24,37,63,56,30,28,28,26,29,49,31,39,28,24,18,18,33,30,33,26,28,42,57,41,43,36,60,42,32,36,59,41,23,31,31,23,44,19,11,32,18,37,65,31,39,24,44,32,33,34,40,30,38,63,35,41,37,23,30,23,32,24,55,37,40,26,25,25,18,57,25,27,42,22,39,17,46,70,62,20,58,20,31,31,37,44,46,22,38
DA9429,54,42,48,55,63,67,57,52,44,79,71,52,39,38,50,54,47,63,58,43,56,43,53,65,56,66,60,64,73,85,85,64,84,47,61,55,71,69,41,58,57,49,57,52,47,46,60,50,76,56,69,69,57,54,54,54,48,72,49,61,56,53,50,53,53,67,42,75,51,53,38,52,43,0,50,47,76,65,48,55,54,58,43,47,42,45,43,48,51,39,52,81,49,47,41,70,73,38,87,82,82,47,65,70,47,43,52,48,44,45,41,38,52,66,60,59,66,56,48,52,58,57,59,65,74,70,69,52,70,69,72,69,55,53,62,61,68,57,62,49,47,48,62,60,54,49,69,50,58,52,66,63,51,65,76,64,56,69,56,55,54,58,60,58,47,60,63,63,72,62,71,65,69,71,54,53,53,52,53,56,73,79,72,55,56,76,78,61,52,60,85,46,79,80,47,56,82,75,49,47,51,49,60,70,50,62,55,51,45,45,52,49,52,45,47,61,76,60,62,55,79,61,51,55,78,60,46,50,50,46,63,42,34,51,41,56,84,50,58,43,63,51,52,53,59,49,57,82,54,60,56,46,49,46,51,47,74,60,59,45,46,46,41,76,48,50,61,45,58,40,65,89,81,47,77,51,50,52,56,63,65,45,57
EA0976,42,30,30,29,37,41,31,26,32,65,55,34,27,26,32,36,35,53,46,17,44,17,35,47,38,48,42,46,55,69,69,46,68,21,43,37,53,55,23,44,39,31,41,34,29,28,42,38,60,44,51,51,39,36,28,28,22,54,31,49,38,35,38,35,35,53,30,59,33,35,26,34,31,50,0,21,58,39,36,37,42,32,17,29,16,19,17,22,39,13,40,65,37,21,15,52,55,12,75,66,66,35,47,52,21,17,26,22,18,33,29,26,40,48,42,33,48,30,22,26,42,41,41,51,56,44,43,26,44,55,46,43,37,35,36,43,50,31,48,37,21,36,50,34,28,37,53,24,32,26,40,37,25,39,50,38,36,51,38,37,36,46,48,46,21,46,47,47,56,46,53,49,43,45,36,35,35,34,35,30,53,57,52,29,44,56,56,45,26,46,59,34,57,58,35,30,64,55,31,29,39,37,48,44,24,50,43,39,33,33,34,31,34,27,29,43,58,44,48,37,65,35,25,29,64,34,34,24,24,34,37,30,22,25,29,38,68,24,44,17,37,25,26,27,41,35,39,64,36,46,30,34,31,34,25,35,60,48,41,25,26,26,29,58,36,38,35,33,44,28,51,75,65,35,59,39,30,26,30,37,49,33,41
